Sample,Download,Upload,Ping
14/04/2020 22:26:51,3.685,0.464,77.121
14/04/2020 22:28:17,3.344,0.466,67.271
14/04/2020 22:29:43,2.782,0.466,68.098
14/04/2020 22:31:08,2.86,0.465,61.601
14/04/2020 22:32:33,2.788,0.466,73.221
14/04/2020 22:33:59,3.48,0.466,69.51
14/04/2020 22:35:24,3.307,0.465,67.796
14/04/2020 22:36:49,2.9,0.466,62.916
14/04/2020 22:38:15,3.184,0.466,68.287
14/04/2020 22:39:40,2.937,0.25,68.07
14/04/2020 22:41:15,2.773,0.248,62.933
14/04/2020 22:42:49,2.848,0.464,66.451
14/04/2020 22:44:14,2.82,0.465,61.746
14/04/2020 22:45:39,3.108,0.465,60.067
14/04/2020 22:47:04,3.025,0.466,75.227
14/04/2020 22:48:30,2.898,0.247,67.535
14/04/2020 22:50:04,2.556,0.465,60.709
14/04/2020 22:51:31,3.609,0.464,64.683
14/04/2020 22:52:56,2.655,0.465,66.756
14/04/2020 22:54:21,3.455,0.466,59.681
14/04/2020 22:55:47,3.354,0.465,61.339
14/04/2020 22:57:12,3.506,0.465,57.94
14/04/2020 22:58:37,2.593,0.465,66.38
14/04/2020 23:00:03,3.512,0.465,68.108
14/04/2020 23:01:29,2.531,0.461,61.876
14/04/2020 23:02:55,3.46,0.464,65.989
14/04/2020 23:04:20,2.026,0.466,85.719
14/04/2020 23:05:47,2.754,0.463,60.753
14/04/2020 23:07:12,2.69,0.465,62.918
14/04/2020 23:08:38,3.604,0.466,63.42
14/04/2020 23:10:03,2.719,0.465,65.072
14/04/2020 23:11:28,3.654,0.466,62.095
14/04/2020 23:12:53,2.559,0.466,65.239
14/04/2020 23:14:19,3.555,0.252,64.884
14/04/2020 23:16:23,3.611,0.462,59.929
14/04/2020 23:18:13,2.44,0.466,66.809
14/04/2020 23:19:55,2.226,0.465,64.952
14/04/2020 23:21:29,3.882,0.463,61.123
14/04/2020 23:22:55,3.449,0.466,71.721
14/04/2020 23:24:20,3.676,0.465,64.83
14/04/2020 23:25:46,2.83,0.466,57.15
14/04/2020 23:27:10,2.505,0.466,64.996
14/04/2020 23:28:36,3.505,0.465,60.274
14/04/2020 23:30:01,3.916,0.465,67.936
14/04/2020 23:31:27,3.664,0.465,61.521
14/04/2020 23:32:52,2.658,0.463,69.914
14/04/2020 23:34:18,3.155,0.466,70.676
14/04/2020 23:35:44,3.273,0.466,63.666
14/04/2020 23:37:09,3.285,0.467,68.823
14/04/2020 23:38:35,3.328,0.266,61.293
14/04/2020 23:40:08,2.646,0.465,63.139
14/04/2020 23:41:35,3.169,0.466,59.147
14/04/2020 23:43:00,3.53,0.465,69.552
14/04/2020 23:44:25,2.854,0.465,62.017
14/04/2020 23:45:50,2.791,0.466,71.797
14/04/2020 23:47:16,2.76,0.464,65.138
14/04/2020 23:48:42,3.357,0.464,66.648
14/04/2020 23:50:07,3.532,0.466,63.973
14/04/2020 23:51:32,3.323,0.465,67.345
14/04/2020 23:52:58,3.313,0.465,63.939
14/04/2020 23:54:23,2.826,0.466,64.385
14/04/2020 23:55:48,2.673,0.466,63.107
14/04/2020 23:57:13,2.74,0.464,64.019
14/04/2020 23:58:38,3.168,0.465,59.143
15/04/2020 00:00:04,2.837,0.466,63.015
15/04/2020 00:01:36,2.549,0.465,66.917
15/04/2020 00:03:02,2.94,0.465,64.522
15/04/2020 00:04:27,2.778,0.465,64.073
15/04/2020 00:05:52,2.975,0.247,60.704
15/04/2020 00:07:27,2.48,0.466,68.751
15/04/2020 00:08:52,3.6,0.465,71.365
15/04/2020 00:10:18,2.744,0.292,70.182
15/04/2020 00:11:49,3.455,0.247,64.477
15/04/2020 00:13:24,3.292,0.248,63.947
15/04/2020 00:14:58,3.38,0.464,62.887
15/04/2020 00:16:24,2.897,0.465,62.011
15/04/2020 00:17:49,2.666,0.466,62.559
15/04/2020 00:19:14,2.752,0.247,67.158
15/04/2020 00:20:48,3.014,0.466,63.307
15/04/2020 00:22:13,3.393,0.465,68.148
15/04/2020 00:23:39,3.063,0.465,59.912
15/04/2020 00:25:04,2.617,0.466,61.504
15/04/2020 00:26:30,2.777,0.465,62.947
15/04/2020 00:27:55,2.941,0.465,63.593
15/04/2020 00:29:20,2.646,0.465,59.356
15/04/2020 00:30:46,3.165,0.467,61.15
15/04/2020 00:32:11,2.686,0.463,68.987
15/04/2020 00:33:36,3.216,0.465,62.585
15/04/2020 00:35:02,2.474,0.465,67.644
15/04/2020 00:36:28,2.92,0.465,58.452
15/04/2020 00:37:53,3.128,0.462,73.754
15/04/2020 00:39:19,2.75,0.465,58.134
15/04/2020 00:40:44,2.738,0.465,67.508
15/04/2020 00:42:10,3.11,0.465,68.054
15/04/2020 00:43:35,2.791,0.465,61.843
15/04/2020 00:45:00,3.077,0.464,60.039
15/04/2020 00:46:25,3.121,0.464,67.51
15/04/2020 00:47:51,2.636,0.465,64.298
15/04/2020 00:49:16,3.017,0.465,64.686
15/04/2020 00:50:42,2.69,0.464,63.85
15/04/2020 00:52:07,3.146,0.461,68.783
15/04/2020 00:53:32,3.183,0.466,72.96
15/04/2020 00:54:58,2.606,0.249,66.338
15/04/2020 00:56:32,2.813,0.466,59.066
15/04/2020 00:57:58,2.771,0.465,61.584
15/04/2020 00:59:24,2.823,0.466,64.351
15/04/2020 01:00:49,3.32,0.466,58.279
15/04/2020 01:02:14,2.613,0.466,74.583
15/04/2020 01:03:40,2.738,0.465,60.373
15/04/2020 01:05:06,3.583,0.464,64.639
15/04/2020 01:06:31,3.288,0.465,58.77
15/04/2020 01:07:56,3.233,0.46,61.919
15/04/2020 01:09:23,3.363,0.466,82.039
15/04/2020 01:10:49,3.697,0.466,59.635
15/04/2020 01:12:14,3.303,0.465,65.109
15/04/2020 01:13:40,3.579,0.465,69.313
15/04/2020 01:15:05,3.498,0.461,70.254
15/04/2020 01:16:31,3.632,0.466,58.173
15/04/2020 01:17:56,3.592,0.464,76.204
15/04/2020 01:19:21,3.933,0.264,64.677
15/04/2020 01:20:55,2.529,0.465,71.055
15/04/2020 01:22:20,2.958,0.465,61.693
15/04/2020 01:23:45,3.731,0.465,58.542
15/04/2020 01:25:11,2.725,0.464,66.659
15/04/2020 01:26:36,3.746,0.465,58.662
15/04/2020 01:28:03,3.392,0.463,58.944
15/04/2020 01:29:29,2.888,0.466,67.389
15/04/2020 01:30:55,2.919,0.247,61.414
15/04/2020 01:32:29,3.674,0.466,60.244
15/04/2020 01:33:54,3.477,0.466,61.286
15/04/2020 01:35:19,2.669,0.465,60.431
15/04/2020 01:36:45,2.919,0.464,67.811
15/04/2020 01:38:10,3.064,0.464,68.045
15/04/2020 01:39:35,3.724,0.465,61.1
15/04/2020 01:41:00,3.674,0.466,57.639
15/04/2020 01:42:26,2.857,0.463,65.408
15/04/2020 01:43:51,2.572,0.464,68.062
15/04/2020 01:45:17,3.231,0.25,66.809
15/04/2020 01:46:52,2.837,0.466,67.399
15/04/2020 01:48:17,2.623,0.466,65.023
15/04/2020 01:49:42,3.389,0.466,69.243
15/04/2020 01:51:08,2.605,0.466,72.611
15/04/2020 01:52:33,3.232,0.465,65.118
15/04/2020 01:53:59,3.688,0.465,67.486
15/04/2020 01:55:24,3.404,0.459,64.061
15/04/2020 01:56:50,3.169,0.466,61.356
15/04/2020 01:58:15,2.777,0.463,64.43
15/04/2020 01:59:40,3.156,0.465,61.346
15/04/2020 02:01:06,3.472,0.46,68.069
15/04/2020 02:02:32,2.638,0.464,68.89
15/04/2020 02:03:57,2.585,0.465,61.953
15/04/2020 02:05:22,2.817,0.461,63.108
15/04/2020 02:06:47,3.827,0.465,65.707
15/04/2020 02:08:13,2.851,0.247,65.154
15/04/2020 02:09:47,3.44,0.464,63.702
15/04/2020 02:11:13,2.957,0.466,64.195
15/04/2020 02:12:38,2.736,0.465,59.463
15/04/2020 02:14:03,3.092,0.466,63.867
15/04/2020 02:15:28,3.699,0.466,66.561
15/04/2020 02:16:53,2.838,0.25,64.225
15/04/2020 02:18:27,3.345,0.465,61.944
15/04/2020 02:19:53,2.656,0.266,62.855
15/04/2020 02:21:26,3.349,0.466,65.103
15/04/2020 02:22:51,3.696,0.465,67.127
15/04/2020 02:24:16,2.966,0.465,65.502
15/04/2020 02:25:42,3.588,0.465,60.092
15/04/2020 02:27:07,3.204,0.466,62.197
15/04/2020 02:28:32,3.627,0.465,65.918
15/04/2020 02:29:58,3.785,0.467,62.407
15/04/2020 02:31:23,2.615,0.466,69.948
15/04/2020 02:32:49,3.574,0.264,70.728
15/04/2020 02:34:22,2.974,0.466,66.571
15/04/2020 02:35:48,2.535,0.465,65.788
15/04/2020 02:37:14,3.712,0.465,63.281
15/04/2020 02:38:39,3.389,0.465,60.37
15/04/2020 02:40:04,3.559,0.253,60.868
15/04/2020 02:41:38,2.705,0.465,62.673
15/04/2020 02:43:03,2.79,0.463,67.786
15/04/2020 02:44:28,2.639,0.249,59.663
15/04/2020 02:46:03,3.406,0.466,60.267
15/04/2020 02:47:29,2.814,0.465,56.51
15/04/2020 02:48:53,2.589,0.465,64.068
15/04/2020 02:50:19,3.016,0.466,57.062
15/04/2020 02:51:44,2.712,0.466,64.117
15/04/2020 02:53:09,3.487,0.465,59.913
15/04/2020 02:54:35,3.703,0.466,61.558
15/04/2020 02:56:00,2.685,0.466,58.348
15/04/2020 02:57:25,2.881,0.462,65.144
15/04/2020 02:58:50,2.925,0.466,58.109
15/04/2020 03:00:15,3.463,0.464,58.695
15/04/2020 03:01:41,2.948,0.464,69.714
15/04/2020 03:03:07,3.527,0.248,68.047
15/04/2020 03:04:41,2.806,0.25,64.072
15/04/2020 03:06:15,3.822,0.466,61.051
15/04/2020 03:07:40,3.119,0.464,62.638
15/04/2020 03:09:05,2.916,0.461,63.164
15/04/2020 03:10:31,3.385,0.465,68.553
15/04/2020 03:11:56,3.286,0.465,60.433
15/04/2020 03:13:21,2.994,0.466,59.847
15/04/2020 03:14:46,3.026,0.465,64.514
15/04/2020 03:16:12,3.352,0.466,71.487
15/04/2020 03:17:37,2.783,0.251,60.313
15/04/2020 03:19:11,3.133,0.252,58.498
15/04/2020 03:20:45,2.729,0.466,67.692
15/04/2020 03:22:10,2.755,0.466,65.008
15/04/2020 03:23:35,3.038,0.466,61.315
15/04/2020 03:25:00,3.047,0.467,59.151
15/04/2020 03:26:25,2.907,0.466,63.831
15/04/2020 03:27:50,2.694,0.249,67.729
15/04/2020 03:29:25,3.596,0.466,69.949
15/04/2020 03:30:51,2.951,0.465,59.599
15/04/2020 03:32:16,3.15,0.465,65.254
15/04/2020 03:33:41,2.969,0.254,67.258
15/04/2020 03:35:15,2.621,0.466,58.922
15/04/2020 03:36:40,2.797,0.465,71.925
15/04/2020 03:38:07,3.035,0.465,61.011
15/04/2020 03:39:33,3.683,0.466,69.957
15/04/2020 03:40:59,3.578,0.465,65.549
15/04/2020 03:42:24,3.07,0.466,58.106
15/04/2020 03:43:49,3.743,0.465,69.589
15/04/2020 03:45:15,3.349,0.466,60.021
15/04/2020 03:46:40,3.152,0.266,72.267
15/04/2020 03:48:14,3.481,0.466,58.93
15/04/2020 03:49:39,3.57,0.466,60.336
15/04/2020 03:51:04,2.907,0.464,68.046
15/04/2020 03:52:29,2.863,0.466,58.943
15/04/2020 03:53:55,3.891,0.466,66.342
15/04/2020 03:55:20,3.336,0.466,66.127
15/04/2020 03:56:46,3.326,0.466,61.423
15/04/2020 03:58:11,2.72,0.25,67.243
15/04/2020 03:59:46,3.296,0.466,58.528
15/04/2020 04:01:11,3.645,0.466,69.374
15/04/2020 04:02:37,3.092,0.466,62.611
15/04/2020 04:04:02,2.926,0.465,59.919
15/04/2020 04:05:27,3.402,0.465,58.768
15/04/2020 04:06:52,2.844,0.466,64.52
15/04/2020 04:08:17,2.822,0.464,65.169
15/04/2020 04:09:42,3.584,0.466,64.649
15/04/2020 04:11:07,3.704,0.252,63.633
15/04/2020 04:12:41,2.653,0.466,61.609
15/04/2020 04:14:07,3.65,0.465,64.468
15/04/2020 04:15:32,3.604,0.466,58.584
15/04/2020 04:16:57,2.845,0.466,63.419
15/04/2020 04:18:22,3.55,0.253,63.522
15/04/2020 04:19:56,2.724,0.466,66.534
15/04/2020 04:21:21,2.579,0.466,64.977
15/04/2020 04:22:46,2.714,0.465,61.172
15/04/2020 04:24:11,2.966,0.463,64.281
15/04/2020 04:25:37,3.554,0.463,59.052
15/04/2020 04:27:02,3.571,0.251,62.206
15/04/2020 04:28:39,3.141,0.465,59.963
15/04/2020 04:30:04,2.79,0.464,61.803
15/04/2020 04:31:29,2.876,0.466,57.861
15/04/2020 04:32:54,3.119,0.465,57.743
15/04/2020 04:34:19,2.722,0.465,72.739
15/04/2020 04:35:44,3.102,0.25,65.336
15/04/2020 04:37:18,3.687,0.466,61.639
15/04/2020 04:38:43,2.624,0.466,60.601
15/04/2020 04:40:08,2.741,0.465,59.83
15/04/2020 04:41:33,2.362,0.465,60.305
15/04/2020 04:43:00,2.658,0.466,67.654
15/04/2020 04:44:26,2.95,0.465,58.188
15/04/2020 04:45:50,2.499,0.247,62.531
15/04/2020 04:47:25,2.857,0.465,61.523
15/04/2020 04:48:50,3.04,0.466,66.841
15/04/2020 04:50:15,3.286,0.465,61.156
15/04/2020 04:51:40,2.77,0.464,61.726
15/04/2020 04:53:05,3.812,0.466,62.94
15/04/2020 04:54:31,2.795,0.465,58.321
15/04/2020 04:55:55,2.638,0.464,58.442
15/04/2020 04:57:22,2.97,0.461,61.971
15/04/2020 04:58:47,2.859,0.465,59.656
15/04/2020 05:00:12,2.599,0.464,69.854
15/04/2020 05:01:38,2.695,0.465,72.846
15/04/2020 05:03:03,2.853,0.466,66.401
15/04/2020 05:04:28,3.399,0.466,58.833
15/04/2020 05:05:53,3.395,0.466,67.328
15/04/2020 05:07:19,3.534,0.466,65.067
15/04/2020 05:08:44,2.714,0.465,71.78
15/04/2020 05:10:09,3.056,0.466,77.628
15/04/2020 05:11:35,2.673,0.466,61.723
15/04/2020 05:13:01,3.862,0.465,76.707
15/04/2020 05:14:26,3.385,0.462,68.214
15/04/2020 05:15:52,3.468,0.294,63.165
15/04/2020 05:17:23,3.313,0.466,61.33
15/04/2020 05:18:49,2.9,0.465,60.912
15/04/2020 05:20:14,2.801,0.465,59.57
15/04/2020 05:21:39,2.828,0.249,63.088
15/04/2020 05:23:13,3.413,0.465,62.669
15/04/2020 05:24:39,2.544,0.465,64.988
15/04/2020 05:26:04,2.765,0.465,58.865
15/04/2020 05:27:29,2.753,0.26,62.856
15/04/2020 05:29:02,3.441,0.466,60.257
15/04/2020 05:30:27,3.465,0.465,59.984
15/04/2020 05:31:52,2.758,0.466,65.359
15/04/2020 05:33:17,3.426,0.466,60.799
15/04/2020 05:34:42,2.642,0.466,58.104
15/04/2020 05:36:07,2.761,0.248,57.186
15/04/2020 05:37:42,2.967,0.463,62.01
15/04/2020 05:39:08,3.382,0.465,64.683
15/04/2020 05:40:33,3.336,0.467,62.207
15/04/2020 05:41:59,3.28,0.466,57.213
15/04/2020 05:43:24,3.445,0.467,57.586
15/04/2020 05:44:49,2.785,0.465,62.233
15/04/2020 05:46:14,3.566,0.256,59.005
15/04/2020 05:47:48,3.596,0.465,64.139
15/04/2020 05:49:13,3.833,0.467,67.241
15/04/2020 05:50:38,3.733,0.465,61.465
15/04/2020 05:52:03,3.476,0.466,58.905
15/04/2020 05:53:29,3.107,0.46,77.224
15/04/2020 05:54:55,3.51,0.465,57.812
15/04/2020 05:56:20,3.32,0.465,62.012
15/04/2020 05:57:45,2.853,0.465,63.496
15/04/2020 05:59:11,3.305,0.465,63.552
15/04/2020 06:00:37,2.946,0.464,59.24
15/04/2020 06:02:02,3.534,0.464,64.85
15/04/2020 06:03:28,2.758,0.466,60.598
15/04/2020 06:04:52,2.757,0.466,62.615
15/04/2020 06:06:17,3.615,0.463,58.035
15/04/2020 06:07:43,2.788,0.465,67.894
15/04/2020 06:09:09,3.008,0.462,64.035
15/04/2020 06:10:34,3.103,0.462,69.553
15/04/2020 06:12:00,2.573,0.466,58.308
15/04/2020 06:13:26,2.764,0.466,61.667
15/04/2020 06:14:51,3.216,0.465,61.898
15/04/2020 06:16:16,3.405,0.464,61.051
15/04/2020 06:17:42,2.767,0.247,65.138
15/04/2020 06:19:16,2.968,0.464,63.013
15/04/2020 06:20:41,2.947,0.466,71.189
15/04/2020 06:22:06,2.93,0.465,64.527
15/04/2020 06:23:32,3.107,0.466,64.536
15/04/2020 06:24:57,3.34,0.465,66.773
15/04/2020 06:26:22,3.154,0.465,67.655
15/04/2020 06:27:48,2.768,0.463,67.818
15/04/2020 06:29:13,2.924,0.466,65.381
15/04/2020 06:30:38,3.379,0.249,63.094
15/04/2020 06:32:12,2.941,0.465,62.268
15/04/2020 06:33:38,3.137,0.466,62.03
15/04/2020 06:35:03,3.122,0.466,60.176
15/04/2020 06:36:29,3.136,0.466,61.292
15/04/2020 06:37:54,3.393,0.465,64.603
15/04/2020 06:39:19,3.126,0.465,61.941
15/04/2020 06:40:44,2.695,0.264,59.924
15/04/2020 06:42:17,3.204,0.466,68.87
15/04/2020 06:43:43,2.987,0.465,59.11
15/04/2020 06:45:08,3.174,0.466,57.933
15/04/2020 06:46:33,1.72,0.409,72.142
15/04/2020 06:48:08,2.426,0.248,206.632
15/04/2020 06:50:04,3.356,0.465,66.108
15/04/2020 06:51:29,3.583,0.465,62.265
15/04/2020 06:52:54,2.814,0.466,60.805
15/04/2020 06:54:19,2.644,0.465,59.437
15/04/2020 06:55:45,2.792,0.462,60.155
15/04/2020 06:57:10,3.017,0.466,72.667
15/04/2020 06:58:36,2.774,0.462,63.566
15/04/2020 07:00:01,3.269,0.252,57.765
15/04/2020 07:01:35,3.017,0.466,60.996
15/04/2020 07:03:00,3.074,0.465,60.535
15/04/2020 07:04:25,3.033,0.248,59.816
15/04/2020 07:06:00,3.173,0.464,67.819
15/04/2020 07:07:25,3.504,0.466,60.972
15/04/2020 07:08:50,3.062,0.464,63.262
15/04/2020 07:10:15,2.979,0.464,59.672
15/04/2020 07:11:40,3.556,0.461,59.215
15/04/2020 07:13:06,3.222,0.466,65.816
15/04/2020 07:14:31,3.167,0.46,60.382
15/04/2020 07:15:59,2.725,0.464,87.433
15/04/2020 07:17:25,2.683,0.462,61.044
15/04/2020 07:18:51,3.119,0.466,60.414
15/04/2020 07:20:16,3.468,0.465,57.834
15/04/2020 07:21:41,3.106,0.464,67.867
15/04/2020 07:23:07,3.146,0.464,60.555
15/04/2020 07:24:32,2.645,0.466,61.925
15/04/2020 07:25:57,2.908,0.463,65.334
15/04/2020 07:27:22,2.679,0.464,62.82
15/04/2020 07:28:47,3.57,0.466,57.351
15/04/2020 07:30:12,3.161,0.465,68.346
15/04/2020 07:31:37,3.01,0.465,61.907
15/04/2020 07:33:02,2.972,0.465,67.908
15/04/2020 07:34:28,3.453,0.466,59.423
